Height,Zenith,analog-p,analog-s,photon-p,photon-s
0.0975,90,5.297018803296589,4.9471380706634775,3.02828618968386,0.9650582362728785
0.10125,90,5.298298408901831,4.946752157861896,3.3277870216306153,1.1647254575707153
0.105,90,5.2974656496984185,4.94232431624376,2.995008319467554,0.9317803660565723
0.10875,90,5.291758202475041,4.942608673044925,2.928452579034942,0.5324459234608985
0.1125,90,5.283511855241264,4.942283693843594,3.02828618968386,0.7321131447587353
0.11625,90,5.2800589512271205,4.941146266638935,3.0615640599001663,0.7321131447587353
0.12,90,5.280282374428037,4.941085333038686,2.795341098169717,0.7986688851913477
0.12375,90,5.282110382435524,4.940821287437604,3.3943427620632276,0.6322795341098169
0.1275,90,5.286700713654326,4.938140209026622,2.6955074875207985,0.7653910149750416
0.13125,90,5.289463036865641,4.939440125831947,2.7287853577371046,0.8319467554076538
0.135,90,5.287899074459235,4.941735291441347,3.0948419301164725,0.5324459234608985
0.13875,90,5.284507104045341,4.942913341046173,3.261231281198003,0.86522462562396
0.1425,90,5.2818666480345255,4.939805727433444,3.527454242928452,0.46589018302828616
0.14625,90,5.2806682872296165,4.937327761023294,2.961730449251248,0.7321131447587355
0.15,90,5.283836834442596,4.939541681832363,2.928452579034942,1.098169717138103
0.15375,90,5.288163120060316,4.941613424240848,3.0615640599001663,0.6655574043261231
0.1575,90,5.292164426476705,4.942933652246256,2.8951747088186357,0.8652246256239601
0.16125,90,5.293504965682196,4.945513174656822,2.562396006655574,0.5657237936772046
0.165,90,5.292651895278702,4.943888278650166,4.392678868552412,1.064891846921797
0.16875,90,5.288488099261647,4.941918092242096,3.5607321131447582,1.0316139767054908
0.1725,90,5.284486792845257,4.939744793833194,3.660565723793677,1.1980033277870215
0.17625,90,5.280851088030365,4.940719731437188,2.7287853577371046,0.9650582362728786
0.18,90,5.281115133631447,4.939379192231697,2.928452579034942,0.9317803660565723
0.18375,90,5.281176067231697,4.940597864236689,2.8618968386023296,0.9983361064891847
0.1875,90,5.28507581764767,4.941065021838602,3.261231281198003,0.9983361064891847
0.19125,90,5.2890568128639766,4.942304005043677,3.8269550748752077,0.4991680532445923
0.195,90,5.289727082466722,4.940902532237937,3.3277870216306153,0.86522462562396
0.19875,90,5.287046004055741,4.941105644238768,2.562396006655574,0.9317803660565723
0.2025,90,5.28647729045341,4.941836847441763,2.7287853577371046,0.9983361064891846
0.20625,90,5.285096128847753,4.941349378639767,3.1281198003327786,0.7986688851913477
0.21,90,5.2845883488456735,4.940455685836106,3.4276206322795337,0.8985024958402661
0.21375,90,5.28659915765391,4.941288445039517,3.3277870216306153,1.064891846921797
0.2175,90,5.289747393666805,4.941714980241264,3.8935108153078204,1.064891846921797
0.22125,90,5.291026999272047,4.943502365848586,3.3610648918469215,0.9983361064891847
0.225,90,5.290092684068219,4.942771162645591,3.7271214642262893,1.1980033277870215
0.22875,90,5.288853700863145,4.944335125051996,3.8602329450915143,1.0316139767054908
0.2325,90,5.285360174448835,4.942811785045757,3.1281198003327786,0.6655574043261231
0.23625,90,5.283450921641014,4.941552490640599,3.5940099833610644,0.6655574043261231
0.24,90,5.281826025634359,4.939115146630616,3.02828618968386,0.8985024958402661
0.24375,90,5.282496295237104,4.940902532237937,2.795341098169717,0.9650582362728786
0.2475,90,5.283552477641431,4.941755602641431,3.261231281198003,1.098169717138103
0.25125,90,5.28558359764975,4.942222760243344,2.5956738768718797,0.8319467554076538
0.255,90,5.287675651258319,4.942121204242929,3.261231281198003,0.8319467554076538
0.25875,90,5.287817829658902,4.9427914738456735,2.961730449251248,0.6655574043261231
0.2625,90,5.287350672056988,4.941999337042429,3.5274542429284526,0.8985024958402662
0.26625,90,5.286985070455491,4.9401916402350246,3.7603993344425954,0.8985024958402662
0.27,90,5.284507104045341,4.940882221037853,3.5607321131447582,0.8985024958402661
0.27375,90,5.284385236844841,4.943705477849417,3.227953410981697,1.0316139767054908
0.2775,90,5.286883514455075,4.943807033849834,2.8286189683860234,1.3311148086522462
0.28125,90,5.289686460066555,4.942507117044508,3.02828618968386,0.7653910149750416
0.285,90,5.289158368864392,4.941247822639351,3.0615640599001663,0.8985024958402662
0.28875,90,5.288488099261647,4.941288445039517,3.494176372712146,0.8652246256239601
0.2925,90,5.287472539257488,4.941857158641847,4.026622296173045,0.9983361064891846
